seriesID,year,period,value
LNS11300000,2020,M12,61.5
LNS11300000,2020,M11,61.5
LNS11300000,2020,M10,61.7
LNS11300000,2020,M09,61.4
LNS11300000,2020,M08,61.7
LNS11300000,2020,M07,61.5
LNS11300000,2020,M06,61.5
LNS11300000,2020,M05,60.8
LNS11300000,2020,M04,60.1
LNS11300000,2020,M03,62.6
LNS11300000,2020,M02,63.3
LNS11300000,2020,M01,63.3
LNS11300000,2019,M12,63.3
LNS11300000,2019,M11,63.3
LNS11300000,2019,M10,63.3
LNS11300000,2019,M09,63.2
LNS11300000,2019,M08,63.1
LNS11300000,2019,M07,63.1
LNS11300000,2019,M06,63.0
LNS11300000,2019,M05,62.9
LNS11300000,2019,M04,62.8
LNS11300000,2019,M03,63.0
LNS11300000,2019,M02,63.1
LNS11300000,2019,M01,63.1
LNS11300000,2018,M12,63.0
LNS11300000,2018,M11,62.9
LNS11300000,2018,M10,62.9
LNS11300000,2018,M09,62.8
LNS11300000,2018,M08,62.6
LNS11300000,2018,M07,63.0
LNS11300000,2018,M06,63.0
LNS11300000,2018,M05,62.9
LNS11300000,2018,M04,62.9
LNS11300000,2018,M03,62.9
LNS11300000,2018,M02,63.0
LNS11300000,2018,M01,62.7
LNS11300000,2017,M12,62.7
LNS11300000,2017,M11,62.7
LNS11300000,2017,M10,62.7
LNS11300000,2017,M09,63.1
LNS11300000,2017,M08,62.9
LNS11300000,2017,M07,62.9
LNS11300000,2017,M06,62.8
LNS11300000,2017,M05,62.8
LNS11300000,2017,M04,63.0
LNS11300000,2017,M03,62.9
LNS11300000,2017,M02,62.9
LNS11300000,2017,M01,62.8
LNS11300000,2016,M12,62.7
LNS11300000,2016,M11,62.7
LNS11300000,2016,M10,62.8
LNS11300000,2016,M09,62.9
LNS11300000,2016,M08,62.9
LNS11300000,2016,M07,62.8
LNS11300000,2016,M06,62.7
LNS11300000,2016,M05,62.7
LNS11300000,2016,M04,62.9
LNS11300000,2016,M03,63.0
LNS11300000,2016,M02,62.8
LNS11300000,2016,M01,62.7
LNS11300000,2015,M12,62.7
LNS11300000,2015,M11,62.5
LNS11300000,2015,M10,62.5
LNS11300000,2015,M09,62.4
LNS11300000,2015,M08,62.6
LNS11300000,2015,M07,62.6
LNS11300000,2015,M06,62.7
LNS11300000,2015,M05,62.9
LNS11300000,2015,M04,62.8
LNS11300000,2015,M03,62.6
LNS11300000,2015,M02,62.7
LNS11300000,2015,M01,62.9
